IDCNTRY,IDBOOK,IDSCHOOL,IDCLASS,IDSTUD,ME62271,ME62152,ME62215,ME62143,ME62230,ME62095,ME62076,ME62030,ME62171,ME62301,ME62194,ME62344,ME62320,ME62296,ME62271_S,ME62152_S,ME62215_S,ME62143_S,ME62230_S,ME62095_S,ME62076_S,ME62030_S,ME62171_S,ME62301_S,ME62194_S,ME62344_S,ME62320_S,ME62296_S,BSBG01,BSBGHER,BSBGSSB,BSBGSB,BSBGSLM,BSBGICM,BSBGDML,BSBGSCM,BSBGSVM,BSBGSEC,BSBG01_Z,BSBGHER_Z,BSBGSSB_Z,BSBGSB_Z,BSBGSLM_Z,BSBGICM_Z,BSBGDML_Z,BSBGSCM_Z,BSBGSVM_Z,BSBGSEC_Z
158,10,5065,506509,50650936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15.291,26.488,28.24,17.177,32.395,43.996,8.825,36.047,20.151,27.225,31.841,18.239,32.497,67.352,1,13.51543,11.62252,12.93734,8.57095,10.92487,11.10343,9.6723,7.50425,10.1686,0,1.957320822,1.386661104,1.062742058,-0.354776699,0.578081393,0.268014032,0.223521786,-0.389667648,0.8325636
158,11,5066,506605,50660501,0,1,1,1,0,1,1,1,1,1,1,1,1,1,10.856,19.883,62.355,20.13,6.252,13.309,10.372,24.613,16.136,21.214,31.122,56.139,15.545,43.231,2,9.03613,8.08091,10.41803,9.31385,8.24029,5.56633,9.6723,7.91135,6.44721,1,-0.829074944,-0.675724696,-0.318178245,0.052734706,-0.778626671,-2.417026885,0.223521786,-0.170068095,-1.030650258
158,10,5066,506605,50660516,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10.926,43.208,93.776,34.506,27.182,61.458,22.084,93.404,14.812,47.406,33.763,45.338,88.448,54.574,1,13.51543,7.73555,12.93734,9.85769,5.94336,11.15083,10.35323,6.25944,7.68313,0,1.957320822,-0.87683819,1.062742058,0.351053461,-1.939427785,0.290999158,0.517771383,-1.061148166,-0.411853714
158,11,5066,506605,50660517,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31.959,33.087,93.449,36.855,25.183,40.073,17.543,59.888,13.041,32.623,55.073,27.639,27.016,50.24,1,9.64761,8.46096,12.93734,8.57095,8.82274,9.45061,9.6723,6.90631,6.87554,0,-0.448697366,-0.454410175,1.062742058,-0.354776699,-0.484273509,-0.533468573,0.223521786,-0.712210896,-0.816195338
158,10,5067,506703,50670311,0,0,0,0,0,1,1,1,1,0,1,1,0,1,20.048,68.913,115.056,35.175,37.865,17.991,29.216,48.729,10.008,26.855,53.888,182.481,30.607,77.285,1,8.99877,8.46096,7.97425,8.57095,10.92487,7.41866,7.678,8.34615,10.1686,0,-0.852315126,-0.454410175,-1.657697961,-0.354776699,0.578081393,-1.518798238,-0.638273071,0.064473505,0.8325636
158,11,5067,506703,50670312,0,0,1,0,0,1,0,1,1,0,1,0,0,0,57.244,44.039,81.189,44.379,28.72,50.144,35.671,37.432,51.544,109.449,237.36,147.215,85,67.888,1,7.34568,8.08091,10.41803,7.13627,8.51896,14.67371,7.678,8.57829,8.09086,0,-1.88063718,-0.675724696,-0.318178245,-1.141758074,-0.637795019,1.99930801,-0.638273071,0.189695417,-0.207712738
158,10,5067,506703,50670327,1,1,0,0,0,0,1,0,0,0,1,0,0,0,21.344,27.281,117.839,21.768,7.29,6.438,12.112,15.465,9.871,75.921,24.391,31.864,5.192,16.936,2,10.84499,7.73555,11.18784,7.95043,10.92487,11.61733,8.99736,7.70526,10.07584,1,0.29614548,-0.87683819,0.103781045,-0.695157608,0.578081393,0.517213527,-0.068139359,-0.281238009,0.786120815
158,11,5067,506703,50670328,0,1,0,0,0,1,1,1,1,0,1,0,0,1,28.557,78.825,49.863,64.216,10.224,14.896,12.872,44.345,40.623,78.457,69.585,32.918,67.817,53.775,1,9.03613,8.89725,10.41803,7.71308,10.92487,14.67371,6.49606,7.10653,8.99128,0,-0.829074944,-0.200345413,-0.318178245,-0.825353909,0.578081393,1.99930801,-1.149023616,-0.604207402,0.24310672
158,11,5068,506809,50680903,0,1,1,0,0,1,1,1,0,0,1,1,1,1,10.823,85.641,51.363,143.664,24.107,32.602,12.72,41.867,8.272,23.924,40.352,14.444,41.374,45.702,2,10.23835,11.62252,9.92809,8.94763,9.52219,9.19981,10.12116,7.50425,10.1686,1,-0.081221325,1.386661104,-0.586731179,-0.148152125,-0.130791975,-0.655086073,0.417487207,-0.389667648,0.8325636
158,10,5068,506809,50680918,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.616,20.479,73.027,53.312,31.389,20.112,15.772,43.588,11.793,57.136,30.8,40.234,47.105,52.604,1,9.03613,13.27199,9.92809,13.84849,10.38389,8.70559,13.19086,10.34734,11.02143,0,-0.829074944,2.347196992,-0.586731179,2.540172477,0.304685954,-0.894742377,1.743993586,1.143963628,1.259555846
